gene,logFC_base,pvalue_base,padj_base,logFC_immune_adj,pvalue_immune_adj,padj_immune_adj,symbol,hit_partition,sig_base,sig_immune_adj,delta_log10_p
ENSG00000149927.18,0.0183280382315144,0.874458155104,0.963809822672646,0.0191902309291466,0.867777027084393,0.97139144919903,DOC2A,candidate_tumour_intrinsic,FALSE,FALSE,0.00333088355102165
ENSG00000149929.16,-0.0267002990082819,0.135720472285358,0.538711187605162,-0.0206916872906688,0.239943267557618,0.706213283425391,HIRIP3,candidate_tumour_intrinsic,FALSE,FALSE,-0.247463206547679
ENSG00000149930.18,-0.00432434488677142,0.648305960798823,0.884445989060032,-0.00167827711856813,0.857803045824429,0.968978829242999,TAOK2,candidate_tumour_intrinsic,FALSE,FALSE,-0.121607569258775
ENSG00000149932.17,-0.0217071979151979,0.187899604342577,0.59649594183831,-0.0235588902025192,0.154090345068813,0.633966888687219,TMEM219,candidate_tumour_intrinsic,FALSE,FALSE,0.0861504378929886
ENSG00000149948.14,0.458728781088325,0.0256973487004714,0.332556818313248,0.445852272296087,0.028845960968009,0.450482576593891,HMGA2,candidate_tumour_intrinsic,FALSE,FALSE,-0.0501966938039162
ENSG00000149968.12,0.0278731301761547,0.898527336888172,0.971172188059432,0.0162501778851564,0.940130542740731,0.987619950664744,MMP3,candidate_tumour_intrinsic,FALSE,FALSE,-0.0196568675034996
ENSG00000149970.16,0.139300988396814,0.168688286723876,0.5771282439264,0.15181385477086,0.140549404196132,0.620013349509108,CNKSR2,candidate_tumour_intrinsic,FALSE,FALSE,0.0792559184293136
ENSG00000149972.11,-0.0679639150891994,0.754929241830656,0.92187061808665,-0.0915587313282222,0.674676844998174,0.91821104363133,CNTN5,candidate_tumour_intrinsic,FALSE,FALSE,0.0488104425257775
ENSG00000150045.12,-0.00792708562058947,0.929412069034451,0.980927831162154,-0.0628993454902852,0.432701483376551,0.824184094585059,KLRF1,candidate_tumour_intrinsic,FALSE,FALSE,0.33201992374353
ENSG00000150048.10,-0.0378811187300452,0.334899749810175,0.721105762922945,-0.0544662668546968,0.141612440186572,0.620386021920221,CLEC1A,candidate_tumour_intrinsic,FALSE,FALSE,0.373813416726664
ENSG00000150051.14,0.309555540165291,0.121139368749966,0.51842067558269,0.118313526239941,0.479562775305516,0.844188673647618,MKX,candidate_tumour_intrinsic,FALSE,FALSE,-0.597560158612445
ENSG00000150054.18,-0.0131482986773753,0.827884783245449,0.948137771470856,-0.0359798705468268,0.542533305032513,0.870207458099686,MPP7,candidate_tumour_intrinsic,FALSE,FALSE,0.183543496404905
ENSG00000150093.20,0.0308383561308599,0.0552283080798134,0.407708358045335,0.0292901435262112,0.0690323203870105,0.525269479458003,ITGB1,candidate_tumour_intrinsic,FALSE,FALSE,-0.0968907327884836
ENSG00000150281.7,0.206119305749855,0.00500442095758054,0.202696311424572,0.161866496700597,0.0231345121362142,0.430975222462787,CTF1,candidate_tumour_intrinsic,FALSE,FALSE,-0.664906511302626
ENSG00000150316.12,-0.0214746939294647,0.0736070163461234,0.449582552237016,-0.0219923106839436,0.0688163257302335,0.524707403661552,CWC15,candidate_tumour_intrinsic,FALSE,FALSE,0.0292277331270669
ENSG00000150337.13,0.195915233929005,0.00496250524194952,0.202646254298168,0.0718557139433787,0.155812170365367,0.636698998807108,FCGR1A,likely_immune_associated,FALSE,FALSE,-1.49690039853835
ENSG00000150347.16,0.0316439419586938,0.0990435503968451,0.483570776934328,0.0232375523993086,0.197498813143916,0.674389616807736,ARID5B,likely_immune_associated,FALSE,FALSE,-0.299738290072801
ENSG00000150394.14,0.211487704493954,0.221731783325848,0.629232974260409,0.216927341960256,0.210848076687094,0.684848364251133,CDH8,candidate_tumour_intrinsic,FALSE,FALSE,0.0218583060958248
ENSG00000150401.15,-0.00290415337968469,0.851904722025861,0.955741770308868,0.00542797753760029,0.710681451157134,0.930652825038009,DCUN1D2,candidate_tumour_intrinsic,FALSE,FALSE,0.0787160450339523
ENSG00000150403.18,0.0235446902510367,0.181299725693678,0.58966754408053,0.0243113330997904,0.170653092762002,0.64867367724848,TMCO3,candidate_tumour_intrinsic,FALSE,FALSE,0.0262829835632469
ENSG00000150433.9,-0.0116272899843693,0.284671272625721,0.682115673985239,-0.011521997412823,0.292289790034103,0.746987353762013,TMEM218,candidate_tumour_intrinsic,FALSE,FALSE,-0.0114700024177176
ENSG00000150455.13,0.00212165928390269,0.910416713563395,0.974317060009278,0.00931295439291235,0.613018177942194,0.894426824400694,TIRAP,candidate_tumour_intrinsic,FALSE,FALSE,0.171766869041389
ENSG00000150456.11,-0.0548848778157845,0.014948147967778,0.276337558767137,-0.0565016247207536,0.0117470851558629,0.38187215524472,EEF1AKMT1,likely_immune_associated,FALSE,FALSE,0.104657271154997
ENSG00000150457.9,-0.00711995450539508,0.708453822584455,0.905675790719925,-0.0097492273088053,0.605402306716874,0.891642247359296,LATS2,likely_immune_associated,FALSE,FALSE,0.068267476567409
ENSG00000150459.12,-0.0362470423709435,0.00351237477248985,0.189601558797887,-0.0373800128004843,0.00267746176333483,0.293493227560362,SAP18,candidate_tumour_intrinsic,FALSE,FALSE,0.117877571771892
ENSG00000150471.16,0.0401264590312453,0.667092032539389,0.89229348038303,0.0234147678646673,0.800425199140629,0.954807248092709,ADGRL3,candidate_tumour_intrinsic,FALSE,FALSE,-0.0791349990652444
ENSG00000150477.15,-0.00337924890699976,0.852077589644915,0.955741770308868,-0.000191589577373837,0.991559655180783,0.997376706344131,KIAA1328,candidate_tumour_intrinsic,FALSE,FALSE,-0.0658397046288455
ENSG00000150510.17,0.128972864171472,0.0180769405409355,0.299495324534012,0.0386492294678783,0.394993890871093,0.805114193685284,FAM124A,candidate_tumour_intrinsic,FALSE,FALSE,-1.33946544917717
ENSG00000150527.17,0.00216179975875773,0.873203972271675,0.963437630230937,0.0036609039418009,0.786838548792285,0.950860167080173,MIA2,candidate_tumour_intrinsic,FALSE,FALSE,0.0452300739576934
ENSG00000150540.14,-0.0142057314622934,0.391998804194022,0.759684991423029,-0.0145376603664685,0.382951108604606,0.798451649224951,HNMT,candidate_tumour_intrinsic,FALSE,FALSE,0.0101414110918512
ENSG00000150551.11,0.225235023755552,0.0201191844437805,0.310857720659958,0.217991659406537,0.0234340776324512,0.43214785145304,LYPD1,candidate_tumour_intrinsic,FALSE,FALSE,-0.0662374922475315
ENSG00000150556.17,0.393165228094291,0.0365419463236506,0.365342432334043,0.361769865679424,0.0514626682777597,0.494563376565315,LYPD6B,candidate_tumour_intrinsic,FALSE,FALSE,-0.14870062476695
ENSG00000150593.18,-0.00104289014300097,0.93981181717498,0.984487138161458,-0.00264376748805419,0.848430716960119,0.966461298435287,PDCD4,candidate_tumour_intrinsic,FALSE,FALSE,0.0444245180131376
ENSG00000150594.7,0.343029921895438,0.000264866304466421,0.0936295641469832,0.164526284651619,0.0534132140343238,0.498209723733787,ADRA2A,candidate_tumour_intrinsic,FALSE,FALSE,-2.30462199945573
ENSG00000150625.16,0.306481116747809,0.0201607065235305,0.310857720659958,0.130637213644375,0.272523513003357,0.729864880926194,GPM6A,candidate_tumour_intrinsic,FALSE,FALSE,-1.13089823092993
ENSG00000150630.4,0.0194303010866173,0.468549721980954,0.805969303746683,-0.000315524007219238,0.989531267393961,0.997219594523884,VEGFC,candidate_tumour_intrinsic,FALSE,FALSE,-0.324673837155571
ENSG00000150636.17,0.0283136567662837,0.348688534950793,0.729727017571427,0.00844145194836353,0.763562264948623,0.943185671614371,CCDC102B,candidate_tumour_intrinsic,FALSE,FALSE,-0.340406789733787
ENSG00000150637.9,0.126409338453327,0.0314730020665341,0.350681873025958,0.0294318816087113,0.424725662538634,0.820532517972473,CD226,likely_immune_associated,FALSE,FALSE,-1.13017033221942
ENSG00000150656.15,0.100339256832971,0.513084653109154,0.828304515149804,0.0467416402928965,0.754087048670057,0.940579305387858,CNDP1,candidate_tumour_intrinsic,FALSE,FALSE,-0.167232457256799
ENSG00000150667.8,0.0541482754227119,0.676121827868976,0.894435766215801,0.017277052413856,0.887289172292367,0.977975256851156,FSIP1,candidate_tumour_intrinsic,FALSE,FALSE,-0.118040224903432
ENSG00000150672.17,0.0107807366710063,0.84840848292755,0.954730879318157,-0.00271401196845253,0.961242291227314,0.991877034591512,DLG2,candidate_tumour_intrinsic,FALSE,FALSE,-0.0542278677394848
ENSG00000150681.10,0.0744720024416242,0.402164444453705,0.768005645173466,-0.00337232886961316,0.955139347613604,0.99099282137637,RGS18,candidate_tumour_intrinsic,FALSE,FALSE,-0.375663064709359
ENSG00000150687.12,0.038598708014203,0.147734258284392,0.553637402309628,0.0209710472969479,0.361343431711576,0.787922951793447,PRSS23,candidate_tumour_intrinsic,FALSE,FALSE,-0.388438948687686
ENSG00000150712.11,0.0155332462055058,0.145661796466177,0.551296819673418,0.0177663857706129,0.0934636235296563,0.559958973325607,MTMR12,candidate_tumour_intrinsic,FALSE,FALSE,0.192703047506437
ENSG00000150722.10,-0.150160596727587,0.219150467182372,0.626108836023155,-0.102474700830123,0.399835593620485,0.807274592097751,PPP1R1C,candidate_tumour_intrinsic,FALSE,FALSE,-0.261139051860998
ENSG00000150750.8,0.338177678224186,0.0715364736117494,0.444314899961001,0.345099184396029,0.0678648891143771,0.522606293091817,POU2AF2,candidate_tumour_intrinsic,FALSE,FALSE,0.0228823839793166
ENSG00000150753.12,-0.00913436398749074,0.440012178756076,0.790543869956489,-0.00917307653666105,0.440590507127182,0.827464495426972,CCT5,candidate_tumour_intrinsic,FALSE,FALSE,-0.000570438542683627
ENSG00000150756.14,0.0105853627393517,0.418590087437842,0.777629493213059,0.0100687620763124,0.444199324984781,0.829192005679264,ATPSCKMT,candidate_tumour_intrinsic,FALSE,FALSE,-0.0257889545802288
ENSG00000150760.13,0.0018575525945272,0.932066054787062,0.98227355861912,-0.00170921713916389,0.936759401514666,0.98651128359678,DOCK1,candidate_tumour_intrinsic,FALSE,FALSE,-0.00218136890614794
ENSG00000150764.14,-0.0330941433429924,0.23029189820183,0.637458692900755,-0.0324549571402349,0.241098621244567,0.706360519868533,DIXDC1,candidate_tumour_intrinsic,FALSE,FALSE,-0.0199160673027019
ENSG00000150768.16,-0.0117992831165471,0.534977925735148,0.838475572974318,-0.012563732982363,0.511838986768978,0.857563672013028,DLAT,candidate_tumour_intrinsic,FALSE,FALSE,0.0192024995112602
ENSG00000150773.11,-0.0737190630240088,0.213188898419253,0.620355527485153,-0.0601855086921543,0.310993421970727,0.759123935838054,PIH1D2,candidate_tumour_intrinsic,FALSE,FALSE,-0.163986617542699
ENSG00000150776.18,-0.00609950532209522,0.52444444212173,0.832500214639789,-0.00269536321116104,0.771374685263704,0.945991748225313,NKAPD1,candidate_tumour_intrinsic,FALSE,FALSE,-0.167565894950332
ENSG00000150779.12,-0.048685630331248,0.00284612961212588,0.178567219211842,-0.0483477257073489,0.00328573467063831,0.308275587538978,TIMM8B,candidate_tumour_intrinsic,FALSE,FALSE,-0.0623778165293238
ENSG00000150782.12,0.105120147349045,0.0129456524736516,0.2641514281634,0.0554554662944203,0.0490740541773798,0.493980925588121,IL18,likely_immune_associated,FALSE,FALSE,-0.578727993839844
ENSG00000150787.8,-0.0342532755199278,0.0231855607819126,0.32384916215445,-0.038289261947844,0.0100387057284422,0.364176947168298,PTS,candidate_tumour_intrinsic,FALSE,FALSE,0.363539880861
ENSG00000150867.14,0.00547320277713475,0.717045826965138,0.908356592018118,-0.00817451467137007,0.517773668348128,0.858639792031543,PIP4K2A,candidate_tumour_intrinsic,FALSE,FALSE,0.141406952271705
ENSG00000150873.12,0.290709464522293,0.0182420786700159,0.300025233859896,0.267550888074603,0.0288335037086492,0.450482576593891,CIMIP5,candidate_tumour_intrinsic,FALSE,FALSE,-0.198823094655998
